source	target	score	note
Back to Codex	返回法典	8	visible-priority-candidate
Save file uploaded.	存檔已上傳。	8	visible-priority-candidate
1/2 Cloud Saves	1/2 雲端存檔	5	visible-priority-candidate
Autosave	自動儲存	5	visible-priority-candidate
Back to Login	返回登入	5	visible-priority-candidate
Crazy campaign	瘋狂競選	5	visible-priority-candidate
Decisions	決策	5	visible-priority-candidate
Diplomacy	外交	5	visible-priority-candidate
ECONOMY	經濟	5	visible-priority-candidate
Enter save file name...	輸入存檔名稱...	5	visible-priority-candidate
Journal	日誌	5	visible-priority-candidate
Law	法律	5	visible-priority-candidate
LOAD	載入	5	visible-priority-candidate
Loading ad…	正在載入廣告…	5	visible-priority-candidate
Loading...	載入中...	5	visible-priority-candidate
Military	軍隊	5	visible-priority-candidate
Return	返回	5	visible-priority-candidate
Return to Conversation	回到對話	5	visible-priority-candidate
Save	儲存	5	visible-priority-candidate
Trade	貿易	5	visible-priority-candidate
Turn	回合	5	visible-priority-candidate
<size=19>(Press)</size> Gamepad Menu	<size=19>(按下)</size> 遊戲手把選單	4	visible-priority-candidate
Commission for Fair Trade and Competition	公平貿易與競爭委員會	4	visible-priority-candidate
Commission for Fair Trade Commission for Fa	公平貿易委員會公平貿易委員會	4	visible-priority-candidate
Saved on a different version	於不同版本儲存	4	visible-priority-candidate
Torpor Games Privacy Policy	Torpor Games 隱私權政策	4	visible-priority-candidate
(CONTRIBUTING MEMBERS)	（貢獻成員）	2	visible-priority-candidate
1-Day Ticket	1 日通行證	2	visible-priority-candidate
128h	128小時	2	visible-priority-candidate
25h	25小時	2	visible-priority-candidate
3-day ticket	3 天門票	2	visible-priority-candidate
<sprite name=currency>	<sprite name=currency>	2	visible-priority-candidate
Aarón J. Morales	Aarón J. Morales	2	visible-priority-candidate
Accept	接受	2	visible-priority-candidate
Achievements	成就	2	visible-priority-candidate
ACHIEVEMENTS:	成就：	2	visible-priority-candidate
adasd	adasd	2	visible-priority-candidate
Ads	廣告	2	visible-priority-candidate
Affiliation	隸屬關係	2	visible-priority-candidate
AFFILIATION:	隸屬關係：	2	visible-priority-candidate
